School Name	Address	Head Teacher
Ringstead Church of England Primary School (Primary)	Ringstead Church Of England Primary, Church Street, Ringstead, NN14 4DH	Mrs Laura Buckley
Risdene Academy (Primary)	Risdene Academy, Newton Road, Rushden, NN10 0HH	Mr Andrew Sears
Roade Primary School (Primary)	Roade Primary School, Hartwell Road, Roade, Northampton, NN7 2NT	Mr Antony Witheyman
Rockingham Primary School (Primary)	Rockingham Primary School, Rockingham Road, Corby, NN17 1AJ	Mrs Rebecca Steed
Ronald Tree Nursery (Nursery, with SEN Unit or Resourced Provision)	Ronald Tree Nursery School, Laburnum Crescent, Kettering, NN16 9PH	Mrs Karen Sharman
Rothersthorpe Church of England Primary School (Primary)	Rothersthorpe C Of E Primary School, Church Street, Rothersthorpe, NN7 3HS	Mrs Nicola Fountain
Rothwell Junior School (Junior)	Rothwell County Junior School, Gladstone Street, Rothwell, Kettering, NN14 6ER	Mr Lee Hurling
Rothwell Victoria Infant School (Infant, with Nursery Unit)	Rothwell Victoria Infants School, School Lane, Rothwell, Kettering, NN14 6HZ	Mr Lee Hurling
Rowan Gate Primary School (Special - Primary)	Rowan Gate Primary School, Finedon Road, Wellingborough, Northamptonshire, NN8 4NS	Mrs Laura Clarke
Rushden Community College (Secondary)	Rushden Community College, Hayway, Rushden, NN10 6AG	Mr Mark Lester
Rushden Primary Academy (Primary)	Goulsbra Road, Rushden, Northants, NN10 0YX	
Rushton Primary School (Primary)	Rushton Primary School, Station Road, Rushton, Kettering, NN14 1RL	Mrs Alison Willis
Ruskin Infant School & Nursery (Infant, with Nursery Unit)	Ruskin Infant School, Ruskin Avenue, Wellingborough, NN8 3EG	Ms Heather Eley
Ruskin Junior School (Junior)	Ruskin Junior School, Ruskin Avenue, Wellingborough, NN8 3EG	Mrs Catherine French
Silverstone Church of England Junior School (Junior)	Silverstone C Of E Junior School, Green Lane, Silverstone, NN12 8ES	Mrs Julie Letts
Silverstone Infant School (Infant)	Silverstone Infants School, High Street, Silverstone, NN12 8US	Mrs Julie Letts
Silverstone UTC (Secondary)	Silverstone Motor Racing Circuit, Silverstone Road, Biddlesden, NN12 8TN	Mr Neil Patterson
Simon de Senlis Primary School (Primary, with SEN Unit or Resourced Provision)	Simon De Senlis School, Hilldrop Road, Northampton, NN4 0PH	Mr Thomas Rees
Sir Christopher Hatton Academy (Secondary)	Sir Christopher Hatton Academy, The Pyghtle, Wellingborough, NN8 4RP	Mrs Susan Bishop
South End Infant School (Infant)	South End Infant School, Wymington Road, Rushden, NN10 9JU	Mr Andrew Jackson
South End Junior School (Junior)	South End Junior School, Wymington Road, Rushden, NN10 9JU	Mr Noel Springett-McHugh
Southfield Primary School (Primary, with Nursery Unit)	Banbury Road, Brackley, NN13 6AU	Ms Jane Cartlidge
Southfield School for Girls (Secondary)	Southfield School For Girls, Lewis Road, Kettering, NN15 6HE	Mrs Julie Goswell
Sponne School (Secondary)	Sponne School, Brackley Road, Towcester, NN12 6DJ	Mr Jamie Clarke
Spratton Church of England Primary School (Primary)	Spratton Church Of England Primary, School Road, Spratton, NN6 8HY	Mrs Claire Radd
Spring Lane Primary School (Primary, with SEN Unit or Resourced Provision)	Spring Lane Primary School, Spring Lane, Northampton, NN1 2JW	Mrs Alex Owens
St Andrew's CEVA Primary School (Primary)	St Andrews Ceva Primary School, Ecton Brook Road, Northampton, NN3 5EN	Mrs Deborah Thompson
St Andrew's Church of England Primary School (Primary)	St Andrews C Of E Primary School, Grafton Street, Kettering, NN16 9DF	Mr Ben Arnell
St Barnabas Church of England School (Infant)	St Barnabas C of E School, St Barnabas Street, Wellingborough, NN8 3HB	Mrs Susan Campbell
St Brendan's Catholic Primary School (Primary)	St Brendans Roman Catholic Church, Beanfield Avenue, Corby, NN18 0AZ	Mrs Leanne Brydon
St Edward's Catholic Primary School (Primary)	St Edwards Rc Primary School, Eastleigh Road, Kettering, NN15 6PT	Mrs Pauline Cuddihy
St Gregory's Catholic Primary School, Northampton (Primary)	St Gregorys Rc Primary School, Grange Road, Northampton, NN3 2AX	Mr Jon Davis
St James CEVA Primary School (Primary, with SEN Unit or Resourced Provision)	St James Ce Primary School, Harlestone Road, Northampton, NN5 7AG	Mrs Julie Barke
St James Infant School, Daventry (Infant)	Daventry St James Infant School, St James Street, Town Centre, Daventry, NN11 4AG	Mrs Judith Amery
St Loys Church of England Primary School (Primary)	Weedon Lois Primary School, Milthorpe, Weedon Lois, NN12 8PP	Mr Robert Hazelgrove
St Luke's Church of England Primary School (Primary)	St Lukes C Of E Primary School, St Crispin Drive, Northampton, NN5 4BL	Mrs Sonia Clews
St Mary's C of E Primary School, Burton Latimer (Primary)	St Marys C Of E Primary School, High Street, Burton Latimer, Kettering, NN15 5RL,	Mr Jonathan Gardiner
St Mary's C of E Vol Aided Primary School (Primary)	St Marys C Of E Va Primary School, Fuller Street, Kettering, NN16 0JH,	Mr Jonathan Gardiner
St Mary's Catholic Primary Sch (Aston-le-Walls) (Primary)	St Marys Rc Primary School, Main Street, Aston Le Walls, Daventry, Northamptonshire, NN11 6UF	Mrs Janice Hamilton
St Mary's Catholic Primary School, Northampton (Primary)	St Marys R C Primary School, Woodside Way, Northampton, NN5 7HX	Mr Mark Wilson
St Patrick's Catholic Primary School, Corby (Primary, with Nursery Unit)	St Patricks Roman Catholic Primary, Patrick Road, Corby, NN18 9NT	Mrs Louise Blair
St Peter's Church of England Academy (Junior)	St Peters Church of England Academy, Mountbatten Way, Raunds, NN9 6PA	Mrs Linda Brooks
St Thomas More Catholic Primary School (Primary)	St Thomas More Rc Primary School, Northampton Road, Kettering, NN15 7JZ	Mrs Nicola Vaughan
Standens Barn Primary School (Primary)	Standens Barn Primary School, Flaxwell Court, Northampton, NN3 9EH	Mr Simon Blight
Stanion C of E (Aided) Primary School (Primary)	Stanion Church Of England Primary S, Cardigan Road, Stanion, NN14 1BY	Mr Wayne Jones
Stanwick Primary School (Primary)	Stanwick Primary School, Church Street, Stanwick, NN9 6PS	Mrs Rani Singh
Staverton C of E Voluntary Aided Primary School (Primary)	Staverton Church Of England Primary, Glebe Lane, Staverton, NN11 6JF	Mrs Ruth Walker-Green
Stimpson Avenue Academy (Primary)	Stimpson Avenue Primary School, Stimpson Avenue, Northampton, NN1 4LR	Mr Darren Smith
Stoke Bruerne Church of England Primary School (Primary)	Stoke Bruerne C Of E Primary School, Bridge Road, Stoke Bruerne, NN12 7SD	Mrs Eliza Hollis
Studfall Infant and Nursery School (Infant, with Nursery Unit and SEN Unit or Resourced Provision)	Studfall Infants School, Rowlett Road, Corby, NN17 2BP	Mrs Angela Brinkman
Studfall Junior School (Junior, with SEN Unit or Resourced Provision)	Studfall Junior School, Rowlett Road, Corby, NN17 2BT	Mrs Louise McGeachie
Sunnyside Primary Academy (Primary)	Sunnyside Primary Academy, Reynard Way, Northampton, NN2 8QS	Mrs Erica Holt
Syresham St James Church of England Primary School (Primary)	Syresham St James Primary School, 5 High Street, Syresham, NN13 5HL	Mrs Katherine Clough
Sywell C of E Vol. Aided Primary School (Primary)	Sywell Church Of England Primary Sc, 69 Overstone Road, Sywell, Wellingborough, NN6 0AW	Mr Russell Lunn
Tennyson Road Infant School (Infant)	Tennyson Road Infant School, Highfield Road, Rushden, NN10 9QD	Miss Caroline Hall
The Abbey Primary School (Primary)	The Abbey Primary School, Winchester Road, Northampton, NN4 8AZ	Mrs Renuka Popat
The Arbours Academy (Primary)	The Arbours Primary School, St Gregorys Road, Northampton, NN3 3QF	Miss Katrina Johnston
The Avenue Infant School (Infant)	The Avenue Infant School, The Avenue, Wellingborough, NN8 4ET	Mrs Gillian Thomas-Hancock
The Bliss Charity School (Primary)	The Bliss Charity School, The Green, Nether Heyford, Northampton, NN7 3LE	Mr Christopher Scanlan
The CE Academy - 1100 (Pupil Referral Unit)	The CE Academy, Poole Street, Northampton, NN1 3EX	Mrs Roberta Kelly
The Duston School (Secondary)	The Duston School, Berrywood Road, Northampton, NN5 6XA	Mrs Jane Herriman
The Duston School (Primary Phase) (Primary)	The Duston School, Berrywood Road, Northampton, NN5 6XA	
The Elizabeth Woodville School (North Campus) (Secondary)	The Elizabeth Woodville School (nor, Stratford Road, Roade, NN7 2LP	Mrs Pamela Hutchison
The Elizabeth Woodville School (South Campus) (Secondary)	The Elizabeth Woodville School, Stratford Road, Deanshanger, MK19 6HN	Mrs Pamela Hutchison
The Ferrers School (Secondary)	The Ferrers School, Queensway, Higham Ferrers, NN10 8LF	Mr Jonathan Giles
The Gateway School (Special - Secondary)	Gateway School, St Johns Road, Tiffield, NN12 8AA	Mr Conor Renihan
The Good Shepherd Catholic Primary School (Primary)	The Good Shepherd Catholic Primary, Kingsland Gardens, Northampton, NN2 7BH	Lisa Davies
The Grange School, Daventry (Primary, with Nursery Unit)	The Grange School, Tamar Square, The Grange, Daventry, NN11 4HW	Mrs Gaynor Yates
The King John School (Middle)	King John School, Market Road, Thrapston, NN14 4JU	Mr John O'Leary
The Latimer Arts College (Secondary)	The Latimer Arts College, Castle Way, Barton Seagrove, Kettering, NN15 6SW	Ms Siobhan Hearne
The Parker E-ACT Academy (Secondary)	The Parker E-ACT Academy, Ashby Road, Ashby Fields, Daventry, NN11 0QF	Mr Andrew Mackereth
Thomas Becket Catholic School (Secondary)	Thomas Becket Catholic School, Kettering Road North, Northampton, NN3 6HT	Mrs Yvonne Lucey
Thorplands Primary School (Primary, with SEN Unit or Resourced Provision)	Thorplands Primary School, Farm Field Court, Northampton, NN3 8AQ	Miss Angela Pratt
Thrapston Primary School (Lower, with Nursery Unit)	Thrapston Primary School, Market Road, Thrapston, NN14 4JU	Mrs Pauline Turner
Tiffield C of E V A Primary School (Primary)	Tiffield C Of E Primary School, High Street South, Tiffield, NN12 8AB	Mrs Eliza Hollis
Titchmarsh CE Primary School (Primary)	Titchmarsh Church Of England Primar, 2 School Lane, Titchmarsh, NN14 3DR	Mrs Josephine Milton
Towcester CEVC Primary (Primary)	Towcester Ce Primary School, Islington Road, Towcester, NN12 6AU	Mr Richard Camp
Trinity Church of England Lower School Aldwincle (Lower)	Trinity Church Of England School, Main Street, Aldwincle, Kettering, NN14 3EL	Mr Craig Charteris
Upton Meadows Primary (Primary)	Upton Meadow Primary School, The Square, Upton, Northampton, NN5 4EZ,	Mrs Susan Gardner
Vernon Terrace Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Vernon Terrace Primary School, Vernon Terrace, Northampton, NN1 5HE	Mrs Jacqueline Lapsa
Victoria Primary School (Primary)	Victoria Primary School, Finedon Road, Wellingborough, NN8 4NT	Mrs Hayley Scargill
Walgrave Primary School (Primary)	Walgrave County Primary School, Kettering Road, Walgrave, NN6 9PH	Mr James Ayton
Wallace Road Nursery School (Nursery)	Wallace Road Nursery School, Wallace Road, Northampton, NN2 7EE	Mrs Kim Baxter
Warmington Primary School (Lower)	Warmington Primary School, School Lane, Warmington, PE8 6TA	Mrs Josephine Milton
Warwick Primary School (Primary)	Warwick Primary School, Dulley Avenue, Wellingborough, NN8 2PS	Mr William Hoten
Waynflete Infants School (Infant)	Waynflete Infant School, Waynflete Avenue, Brackley, NN13 6AF	Mrs Tina Lagdon
Weavers Academy (Secondary)	Weavers Academy, Brickhill Road, Wellingborough, NN8 3JH	Mr Chris Blanch
Weedon Bec Primary School (Primary)	Weedon Bec Primary School, West Street, Weedon, Northampton, NN7 4QU	Mr Antony Witheyman
Weldon Church of England Primary School (Primary)	Weldon C of E Primary School, Chapel Road, Weldon, NN17 3HP	Mrs Lynne Wildman
Welford, Sibbertoft and Sulby Endowed School (Primary)	Welford And Sulby Endowed School, West Street, Welford, NN6 6HU	Mrs Michelle Pye
Welton Church of England Academy (Primary)	Welton Church Of England Primary Sc, Well Lane, Welton, NN11 2JZ	Mrs Corinne Biddell
West Haddon Endowed C of E Primary School (Primary)	West Haddon Endowed Primary School, The Green, West Haddon, NN6 7AN	Mr David Rosevear
Weston Favell Academy (Secondary)	Weston Favell Academy, Booth Lane South, Northampton, NN3 3EZ	Mrs Rachel Steele
Weston Favell Church of England Primary School (Primary)	Weston Favell Primary School, Westwood Way, Northampton, NN3 3HH	Mrs Jill Ramshaw
Whitefriars Infant School (Infant)	Whitefriars Infant School, Boughton Drive, Rushden, NN10 9HX	Mrs Deborah Threadgold
Whitefriars Junior School (Junior)	Whitefriars Junior School, Boughton Drive, Rushden, NN10 9HX	Mrs Helen Woodhouse
Whitehills Nursery School (Nursery)	Whitehills Nursery School, Acre Lane, Northampton, NN2 8DF	Mrs Janet Waller
Whitehills Primary School (Primary)	Whitehills Primary School, Acre Lane, Northampton, NN2 8DF	Mr Robert Hardcastle
Whittlebury Church of England Primary School (Primary)	Whittlebury Church Of England Prima, High Street, Whittlebury, NN12 8XH	Mrs Eliza Hollis
Wilbarston Church of England Primary School (Primary)	Wilbarston Primary School, School Lane, Wilbarston, Market Harborough, LE16 8QN	Mrs Andrea Green
Wilby C of E V A Primary School (Primary)	Wilby Church Of England Primary Sch, Church Lane, Wilby, Wellingborough, NN8 2UG	Miss Lisa Pearce
Windmill Primary School, Raunds (Primary)	Raunds Windmill Primary School, Windmill Lane, Raunds, NN9 6LA	Miss Michelle Ginn
Wollaston Community Primary School (Primary)	Wollaston Primary School, College Street, Wollaston, Wellingborough, NN29 7SF	Mrs Sally Hamson
Wollaston School (Secondary)	Wollaston School, 100 Irchester Road, Wollaston, Wellingborough, NN29 7PH	Mr Joe Cowell
Woodford Church of England Primary School (Primary)	Woodford Church Of England Primary, High Street, Woodford, NN14 4HF	Mrs Jane Lawrence
Woodford Halse C.E. School (Primary, with Nursery Unit)	Woodford Halse C Of E Primary Schoo, High Street, Woodford Halse, NN11 3RQ	Mr Michael Wills
Woodland View Primary School (Primary)	Woodland View Primary School, School Lane, Grange Park, NN4 5FZ	Mr Mark Thomas
Woodnewton - a Learning Community (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Woodnewton, Rowlett Road, Corby, NN17 2NU	Mrs Ellen Wallace
Woodvale Primary Academy (Primary)	Woodvale Primary Academy, Crestwood Road, Northampton, NN3 8JJ	Mrs Erica Holt
Wootton Primary School (Primary)	Wootton Primary School, Farmclose Road, Northampton, NN4 6HJ	Mrs Lorraine Schofield
Wren Spinney Community Special School (Special - Secondary)	Wren Spinney School, Westover Road, Kettering, NN15 7LB	Mrs Deborah Withers
Wrenn School (Secondary)	Wrenn School, London Road, Wellingborough, NN8 2DQ	Mr William Thallon
Yardley Gobion Church of England Primary School (Primary)	Yardley Gobion CofE Primary School, School Lane, Yardley Gobion, NN12 7UL	Mrs Carolyn Gleeson
Yardley Hastings Primary School (Primary)	Yardley Hastings Primary School, Castle Ashby Road, Yardley Hastings, NN7 1EL	Mrs Jillian Gardner
Yelvertoft Primary School (Primary)	Yelvertoft County Primary School, School Lane, Yelvertoft, NN6 6LH	Mrs Julie Walsh
